,,Rig Unit,Report Date,Phase,Activity,Duration,NPT,Summary,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,07-Feb-2014 22:00,"PROD, PRODTBG",TSTSURFEQ,2.0,2.0,"Release hanger. Pull kill line (10 jts) & lay down same.Expro set XX-Plug in XN on deck, Pressure test to 4000 Psi. Tried 3 times couldn't got pressure. (change seal but not holding pressure). Change XN, and try to set and test on.",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,08-Feb-2014 0:00,"PROD, PRODTBG",TSTCMPEQ,6.5,,"Continue attempting to test XX plug on deck. Change XNipple, Set XX plug on surface and attempted to test to 4000 Psi. XX plug leaked. PU 4-1/2"" to tubing to top deck, clean and tally pipe. RD Elnusa power tongs. RU Weatherford power tongs & JAM unit. Pulled XX plug from XN & set PX plug in XN. Successfully tested PX plug to 4000 psi. Continued pumping 0.4 bpm completion fluid in annulus for Well Control.

",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,08-Feb-2014 6:30,"PROD, PRODTBG",R/U,2.0,,"Continue RU Weatherford power tongs & JAM unit. Moved bent 3-1/2"" pipe recovered from sea from prod top deck to barge (cut pipe). Moved 60 jts of 4-1/2""  tbg to production top deck pipe rack & strapped same. Continued pumping 0.4 bpm completion fluid in annulus for Well Control.",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,08-Feb-2014 8:30,"PROD, PRODTBG",TBGRUN,13.5,,"Moved SLB jewelry to top deck. MU mule shoe on 3-1/2 TS Blue tbg. TIH w/ completion string. Drifted tbg as TIH, filled tbg w/ FSW w/ 3% KCL every 5 jts, torque tbg as per Weatherford & API spec's cleaning threads and applying a little pipe dope. Continued pumping 0.4 bpm completion fluid in annulus for Well Control.

Note: TIH w/ MS, 3-1/2"" XN assy, 1 jt 3-1/2"" 9.2# N-80 TS Blue tbg, 9-5/8 x 3-1/2"" MRP Pkr assy, 1 jt 3-1/2"" TS Blue tbg, 3-1/2"" SSD assy, 1 jt 3-1/2"" TS Blue tbg, #4 3-1/2"" SPM assy, 25 jts  4-1/2"" 11.6# N-80 CS Hydril tbg, #3 3-1/2"" SPM assy, 37 jts 4-1/2"" tbg, #2 3-1/2"" SPM assy.",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,08-Feb-2014 22:00,"PROD, PRODTBG",TBGRUN,2.0,,"TIH XO NSCT box to 4-1/2 Hydrill 563 Pin. Pup joints 3-1/2"" TSH B.Box x 3-1/2"" NSCT Pin. SPM#2 w/ GLV 8/64. Pup joint X-Over NSCT Box X 3-1/2"" TSH Pin. XOver NSCT Pin X 4-1/2"" Hydrill 563 Box.

80 joints of 4-1/2"" 11.6# Hydrill 563 Tubing are in hole (2976.25 ft)",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,09-Feb-2014 0:00,"PROD, PRODTBG",TBGRUN,12.5,,"Continued TIH  w/ 4-1/2"" 11.6# N-80 CS Hydril tbg, 3-1/2"" SPM#1 with GLV 8/64, 4-1/2"" tbg, 3-1/2"" WRSV assy, 4-1/2"" tbg. Total jts 4-1/2"" tbg run was 149 to 6400'.",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,09-Feb-2014 12:30,"PROD, PRODTBG",TBGLNDHGR,2.5,,"PU/MU hanger. PU wt 51K, SO wt 35K. Cut WRSV control line & MU on bottom & top of hanger. Test WRSV w/ 5000 psi on control line. Function test 3 times w/ 85cc, 85cc & 83cc fluid returns.SO and landed hanger.Rotated landing jt & set hanger. Pressure riser to 500 psi & tested top of hanger. Pull test hanger to 61K (10K over PU wt).",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,09-Feb-2014 15:00,"PROD, PRODTBG",SCSSV,2.5,,RU Slickline & test lub to 300/3000 psi. RIH & pull WRSV. RD slickline.,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,09-Feb-2014 17:30,"PROD, PRODTBG",TSTSURFEQ,3.0,,Attempted to pressure test line 500 Psi/4000 Psi. ,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,09-Feb-2014 20:30,"PROD, PRODTBG",HESMTG,0.5,,JSA meeting with Elnusa and SLB crew prior to Set the packer on Depth,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,09-Feb-2014 21:00,"PROD, PRODTBG",TSTCMPEQ,3.0,,"Pressure up to  1000 Psi 3 min 2000 Psi 3 min,and 3500 Psi 30 Min on chart & set MRP pkr. Continue Pressure Test Tubing as per program 3000 Psi 10 min
Pressure to annulus to 1500 psi on chart to test packer. ",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,10-Feb-2014 0:00,"PROD, PRODTBG",DMPBLR,1.5,,"Bleed of Casing and Tubing pressure to 0.

",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,10-Feb-2014 1:30,"PROD, PRODTBG",HESMTG,0.5,,"JSA meeting w/ FMC, Elnusa, Weatherford prior to set BPV, R/D Power Tong unit, R/D HWO 340K",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,10-Feb-2014 2:00,"PROD, PRODTBG",TBGPULL,2.0,," Pull Landing Joint, Set BPV. R/D HWO 340K",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,10-Feb-2014 4:00,"DEMOB, RD",R/D,3.0,,"RD 340 Unit. RD pressure hoses & hydraulic hoses. Move equipment. Move 4-1/2"" TS Blue & 3-1/2"" TS Blue tbg to barge. ",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,10-Feb-2014 7:00,"DEMOB, RD",R/D,10.0,,"RD gin pole, work basket, jacks, window & moved to Samudera.. RD unit stairway & guide wires. ND BOP stack, ND riser. Back-load following loads to MV Sepinggan:  all 4-1/2"" & 3-1/2"" TS Blue to MV Sepinggan, 20 jts 3-1/2"" NSCT tbg, Weatherford tong equip, SLB gravel pack basket w/ spare WRSV & XN, food stuff contaners. Moved 350 jts 3-1/2 TKC, 10 pieces of 225 Unit & empty yellow baskets from LCT to MV Sepinggan. Transfered 100 ton DW to Samudera.",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,10-Feb-2014 17:00,"DEMOB, RD",TREEINST,4.0,,NU tree & flowline. Pull BPV & set tree test plug. Cavity test 5000 Psi 10 minutes. Continue moving equipment from LCT Hamota to MV Sepinggan. ,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,10-Feb-2014 21:00,"DEMOB, RD",WHDTST,3.0,,"Install test plug, install test cap. Attempt to pressure test Tree 3000 Psi. Change seals on Expro connection. Repressure Test Tree 3000 Psi
Pressure Test Flow line 1500 Psi. Backload Ginpole to Tirta Samudera Barge, Continue transfering equipments from Top Deck to TS Barge.",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,11-Feb-2014 0:00,"DEMOB, RD",DISPLACE,1.0,,Coordinate with Production to Pump 10 bbls of waste oil from well at gas buster to the system,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,11-Feb-2014 1:00,"DEMOB, RD",R/D,2.0,,"L/D Pumping Tee, Retrieve Test Plug, Set back Pumping tee on Top of well. Remove pumping line on casing.",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,11-Feb-2014 3:00,"DEMOB, RD",OFFLOAD,6.5,,"Production could not start unload 430 Bbls of liquid from well as they don't have Ring Gasket R24 to connect Flange of Gaslift to the well. Continue back-loading HWO 340K equipment to Tirta Samudera and LCT. Clean production top deck.
",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,11-Feb-2014 9:30,"DEMOB, RD",R/U,2.0,,Installed R-24 ring & MU G/L line. tested line to Platform H.P. System pressure.,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,11-Feb-2014 11:30,"DEMOB, RD",UNLOAD,2.5,,Unload well. Gas lift 82 bbl out of csg annulus. Office called to shut down unloading.,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,11-Feb-2014 14:00,"DEMOB, RD",SLKPLUG,4.5,,"RU lub & tested to 300/3000 psi. Opened tree and pressured tbg to 800 psi w/ mud pump. RIH and latched the prong @ 6410' MD (6363' SLM), equalized A&B w/ tbg pressure dropping to 700 psi. POH w/ prong. RIH/latched & recovered PX plug in XN @ 6410' MD.",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,11-Feb-2014 18:30,"DEMOB, RD",SCSSV,1.5,,"RIH and set WRSV at 3964""WLM, R/D Slick line. Hand well to production",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,11-Feb-2014 20:00,"DEMOB, RD",DISPLACE,4.0,,"Hooked up pump on the system to pump waste oil 10 bbls on Gas buster, Continue Backload equipments from top deck. Housekeeping",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,12-Feb-2014 0:00,"DEMOB, RD",UNITCLN,3.0,,"Clean production top deck and barge deck.

",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,12-Feb-2014 3:00,"DEMOB, RD",UNITMAIN,7.5,,"Break down ck manifold & greased valves for maintenance . Pressure tested valves. Continue cleaning platform/barge. Inspected platform w/ production operator, all good.",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,12-Feb-2014 10:30,"DEMOB, RD",DVRS,8.0,8.0,"Diving boat Bahtera Mulia AOL. Divers inspecting workstring, rotating divers every hr. Continue breaking down ck manifold for maintenance & greasing valves. Pressure tested valves to 5000 psi. ",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,12-Feb-2014 18:30,"DEMOB, RD",DVRS,5.5,5.5,Waiting on day light to continue pulling out pipe from the sea.,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,13-Feb-2014 0:00,"DEMOB, RD",WOD,9.0,9.0,Wait on daylight to recover/drop workstring in sea. Diving boat Bahtera Mulia AOL @ 08:45.,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,13-Feb-2014 9:00,"DEMOB, RD",PREPSITE,1.5,1.5,Workstring recovery meeting with Workover & Construction in Balikpapan. Review diving findings and decide forward operations on pipe recovery.,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,13-Feb-2014 10:30,"DEMOB, RD",PREPSITE,5.0,5.0,Waiting on Construction crew.,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,13-Feb-2014 15:30,"DEMOB, RD",PREPSITE,4.0,4.0,Install sling on workstring crossing over anchor wire #1 & #2. PU workstring to stern of barge & secure workstring. Installed 2 clamps. Cut tubing and pick up u shape tubing to top deck and L/D same.,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,13-Feb-2014 19:30,"DEMOB, RD",PREPSITE,1.5,1.5,"WOW, Strong wind and heavy rain",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,13-Feb-2014 21:00,"DEMOB, RD",PREPSITE,2.0,2.0,Install sling on pipe#3. Cut into 2 pcs and L/D on top deck,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,13-Feb-2014 23:00,"DEMOB, RD",PREPSITE,1.0,1.0,Install sling on pipe#2. Cut into 2 pcs and L/D on top deck,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,14-Feb-2014 0:00,"DEMOB, RD",PREPSITE,3.0,3.0,"Continue to cut and pick up work string#2 to top deck. cut off work string on top deck. Construction crew back to Bahtera Mulia to take rest. Work String#1 still hang at platform and crossing anchor wire#1.
",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,14-Feb-2014 3:00,"DEMOB, RD",BOPMAINT,6.0,6.0,Elnusa crew performing stump test BOP.,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,14-Feb-2014 9:00,"DEMOB, RD",ANCR,1.0,,"Anchor handling meeting w/ WSM, Barge Master SeaScape & all AHT Captains.",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,14-Feb-2014 10:00,"DEMOB, RD",R/D,2.0,,Disconnected ESD station. Wait on orders from office to clarify if construction was going to finished their work & cut up/back-load recovered workstring.,,,,,,,,,,,,,,,,,
,,SNB-340 / TS,14-Feb-2014 12:00,"DEMOB, RD",R/D,2.0,,"Pull gangway. Tighten anchor wire #2, SO anchor wire #1 until workstring section slid over top of anchor wire.",,,,,,,,,,,,,,,,,
,,SNB-340 / TS,14-Feb-2014 14:00,"DEMOB, RD",ANCR,4.5,,"Moved Tirta Samudera 100 meters from Serang platform. Pulled anchor #3, 2 &1. Position tub boat Muara Badak to assist as needed. Pull anchor #6, 8, 4. Pull anchor #5 and keep heading West w/ engine slow head. Pull anchor #7 and load on AHT deck (piggy back anchor @ Lima). Pull #1 anchor. ",,,,,,,,,,,,,,,,,
,,,31-Oct-2006 5:30,"MOB, RU",HESMTG,0.5,,SS-1 Safety & planning meeting,,,,,,,,,,,,,,,,,
,,Mast Unit-1  Remote,31-Oct-2006 6:00,"MOB, RU",TRAV,2.5,,"Transport crew from SS-1 to ""A"" crane down with flat battery. 
Move to Sierra barge and collect explosives.
Travel to Serang platform",,,,,,,,,,,,,,,,,
,,Mast Unit-1  Remote,31-Oct-2006 8:30,"MOB, RU",R/U,2.0,,Rig up mast on SA-22,,,,,,,,,,,,,,,,,
,,Mast Unit-1  Remote,31-Oct-2006 10:30,"MOB, RU",SLKPLUG,0.75,,"Rig up slick line RIH w/3"" GS p/t retrieve B/V from 436' wlm (478' brt)
Rig down pressure equipment
THP=390 psig, STHP=500 psig",,,,,,,,,,,,,,,,,
,,Mast Unit-1  Remote,31-Oct-2006 11:15,"MOB, RU",R/U,1.75,,"Rig up E/line pressure equipment. Rig up pump line pressure test to 2,000 psig O.K.
Make up and arm gun.",,,,,,,,,,,,,,,,,
,,Mast Unit-1  Remote,31-Oct-2006 13:00,"INTER, INTER",PERF,3.75,,"RIH w/ Roller-GR-CCL-10' x 2-1/2"" HSD 6S/F-Roller. Ran down to 5428' brt then turned on pump .5, 1, 1.5, 2 bbls/m. 90 bbls pumped in 1 hr Original STHP=1,100 psi, then dropped to 50 psi after pumping.

Well put on line with gas lift on till  FTHP=475 psig before shooting
Shoot 12,258'-12,268' brt (61-7 sand) Before/After 475/445 psig
Well left on line till tool at 3,000' then shut-in Maximum flowing pressure was 500 psig.",,,,,,,,,,,,,,,,,
,,Mast Unit-1  Remote,31-Oct-2006 16:45,"DEMOB, RD",R/D,0.75,,"Rig up slick line RIH w/x-line r/t set B/V @ 436' wlm (478' brt)
Rig down pressure equipment
STHP=1100 psig",,,,,,,,,,,,,,,,,
,,Mast Unit-1  Remote,31-Oct-2006 17:30,"DEMOB, RD",TRAV,1.25,,Transport crew from Serang platform to SS-1 via LQ,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,29-May-2002 6:00,"MOB, RU",TRAV,1.0,,TRAVELL CREWS FROM SS-3 BARGE TO SERANG PLATFORM BY CB. TELUK BAJAU.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,29-May-2002 7:00,"MOB, RU",HESMTG,0.5,,HELD PRE JOB SAFETY MEETING.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,29-May-2002 7:30,"MOB, RU",PREPSITE,9.0,,"SHUT THE WELL IN. TBG AND CASING PRESSURE 1,150 PSI. BLED OFF TO PRODUCTION SYSTEM. R/D MAST UNIT, SET UP AND POSITION PA-8 PUMP, 100 BBLS MIXING TANK, POWER PACK AND FUEL TANK. INSTALL PUMP LINE AND CHOKE MANIFOLD. TRANSFER SLICKLINE UNIT TO CREW BOAT FROM SERANG PLATFORM AND SEND TO MELAHIN PLATFORM FOR SCHLUMBERGER'S JOB. MOBILIZE 2-1/8"" BUMPER SUB, OIL JARS AND WELLTONIC EQUIPMENT.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,29-May-2002 16:30,"MOB, RU",TRAV,1.0,,TRAVELL CREWS BACK FROM SERANG PLATFORM TO SS-3 BARGE.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,30-May-2002 6:00,"MOB, RU",TRAV,1.0,,TRAVELL CREWS FROM SS-3 BARGE TO SERANG PLATFORM.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,30-May-2002 7:00,"MOB, RU",OFFLOAD,1.0,,"OFFLOAD SLICKLINE UNIT, FISHING TOOL FROM CB. BEKISAR TO TOP DECK.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,30-May-2002 8:00,"MOB, RU",LBRCTR,1.0,,"R/U 'A' FRAME AND SLICKLINE LUBRICATOR, TESTED TO 3,000 PSI - OK.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,30-May-2002 9:00,"MOB, RU",SLKDMG,2.0,,"RIH W/ GS P/T, RETRIEVED BV FROM BV NIPPLE @ 478'. POOH. RIH W/ 2.25"" IB TO 3,743' WLM HUD. POOH, L/D WIRELINE AND R/D 'A' FRAME.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,30-May-2002 11:00,"MOB, RU",R/U,7.0,,R/U SNB-150 UNIT TO SCOPE UP GIN POLE.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,30-May-2002 18:00,"MOB, RU",TRAV,1.0,,TRAVELL CREWS BACK TO SS-3 BARGE.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,31-May-2002 6:00,"MOB, RU",TRAV,1.0,,TRAVELL CREWS TO SERANG PLATFORM BY CB. TELUK BAJAU.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,31-May-2002 7:00,"MOB, RU",HESMTG,0.5,,HELD PRE JOB SAFETY MEETING.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,31-May-2002 7:30,"MOB, RU",OFFLOAD,2.5,,"OFFLOAD PALLET KCL ON BOAT, PICKED UP BY MATERIAL BASKET, WHILE CONT. HYDRAULIC HOSES CONNECTED AND FUNCTION TEST SNUBBING UNIT - OK.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,31-May-2002 10:00,"MOB, RU",BOPTST,1.5,,"INSTALL TEST JOINT. PRESSURE TEST BOP - 1-1/4"" STRIPPER RAMS #1 TO 300/3,000 PSI - OK. PRESSURE TEST 1-1/4"" STRIPPER RAMS #2 - LEAKS. PRESSURE TEST 1-1/4"" SAFETY RAMS #4 TO 300/3,000 PSI - OK. CHANGED 1-1/4"" BOP STRIPPER RAMS #2. RE-PRESSURE TEST TO 300/3,000 PSI - OK. L/D TEST JOINT.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,31-May-2002 11:30,"INTER, INTER",BHD,2.0,,"INSTALL W/L ADAPTOR AND BLANKING CAP. BULLHEAD W/ 60 BBLS OF 6% KCL S/W FILT + 0.2% J-103 SURFACTANT, 2 BPM @ 0 PSI. OBSERVED THE WELL FOR 30 MINS - STABLE. WHILE M/U BHA-1.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,31-May-2002 13:30,"INTER, INTER",CLNOUT,2.0,,"ATTEMPT TO TEST ON SURFACE : 1.187"" JDC FLOW-RELEASE OVERSHOT 2.5"" LIP GUIDE, W/ 1-1/8"" FISH NECK INSIDE. BY PUMP 0.6 BPM @ 1,600 PSI - THE FISH NECK COULD NOT RELEASE. ATTEMPT TO SEVERAL TIMES BY PUMP 1 - 1.5 BPM @ 3,000 - 4,500 PSI - THE FISH NECK COULD NOT RELEASE. NOTE : THE FISH NECK SHOULD BE RELEASE W/ 0.5 TO 0.6 BPM PUMPED.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,31-May-2002 15:30,"INTER, INTER",CLNOUT,1.5,,"TRYING THE ORIGINAL SLEEVE ON THE JDC OVERSHOT AND ATTEMPT TO TEST W/ 0.6 BPM @ 1,700 PSI - THE FISH NECK COULD NOT RELEASE. ATTEMPT TO SEVERAL TIMES FROM 0.6 - 1.2 BPM @ 1,700 - 3,000 PSI. THE FISH NECK  COULD NOT RELEASE. CHECK TO SEE ALL PART OF THE TOOL. ALL SEALS LOOK GOOD - NO DAMAGE. THE MAIN SPRING - WORKING.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,31-May-2002 17:00,"INTER, INTER",TRAV,1.0,,TRAVELL CREWS BACK TO SS-3 BY CB. BEKISAR.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,01-Jun-2002 6:00,"INTER, INTER",TRAV,8.0,,"MOBILIZE SPECIALIST WELLTONIC FISHING TOOL. WHILE MODIFIED 1.187"" JDC FLOW-RELEASE OVERSHOT - PUT TEFLON AT THE O-RINGS AND ATTEMPT TEST ON SURFACE WITHOUT THE HOUSING - FOUND LEAKS O-RING INTO THE RESPECTIVE GROOVE IN THE BORE OF THE GRAPPLE.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,01-Jun-2002 14:00,"INTER, INTER",CLNOUT,1.5,,"CHANGED ALL O-RINGS. FUNCTION TEST 1.187"" FLOW RELEASE EXTERNAL P/T WITHOUT HOUSING - BY PUMPING PRESSURE @ 500 PSI - WORKING GOOD. INSTALL HOUSING OF FLOW-RELEASE EXTERNAL P/T W/ FISHING NECK INSIDE AND FUNCTION TEST BY PUMPING PRESSURE TO 1,400 PSI - RELEASE FISHING NECK FROM 1.187"" JDC FLOW RELEASE - OK.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,01-Jun-2002 15:30,"INTER, INTER",JAR,1.5,,"M/U BHA #1 : 1.187"" FLOW RELEASE EXTERNAL PULLING TOOL W/ 2.5"" LIP GUIDE, 2-1/4"" BUMPER SUB, 2-1/4"" OIL JARS, 1 JT OF 1-1/4"" MACARONI TBG, N-NIPPLE. HAMMERING 1-1/4"" MACARONI TBG AND CLEAN - FLUSH BEFORE RUN. RIH ON 1-1/4"" MACARONI TBG FOR 10 JTS. ATTEMPT TO BREAK CIRCULATE - PRESSURE 3,000 PSI HOLDING. POOH. FOUND PLUGGED (PIPE RUSTY) INSIDE 1/4"" ORIFICE AT 1.187"" FLOW RELEASE EXTERNAL P/T.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,01-Jun-2002 17:00,"INTER, INTER",CLNOUT,1.5,,"RE-HAMMERING, CLEAN AND FLUSH. RE-RIH 10 JTS. ATTEMPT BREAK CIRCULATE - PRESSURE 3,000 PSI HOLD. POOH. FOUND PLUGGED (PIPE RUSTY) INSIDE 1/4"" ORIFICE AT 1.187"" FLOW RELEASE EXTERNAL P/T. SECURE WELL.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,01-Jun-2002 18:30,"INTER, INTER",TRAV,1.0,,TRAVELL CREWS BACK TO SS-3 BARGE.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,02-Jun-2002 6:00,"INTER, INTER",TRAV,1.0,,TRAVELL CREWS FROM SS-3 BARGE TO SERANG PLATFORM VIA 'A' PLATFORM.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,02-Jun-2002 7:00,"INTER, INTER",CC,2.0,,"OPEN WELL - TBG PRESSURE 250 PSI, BLED OFF PRESSURE TO 0 PSI. OBSERVE WELL - STABLE. CHANGED 4/16"" ORIFICE TO 5/16"" ORIFICE @ FLOW-RELEASE EXTERNAL P/T. FUNCTION TEST - OK. HAMMERING THE PIPE AND WATER SPRAY TO CLEAN BEFORE RUN. M/U BHA #1 : 1.187"" FLOW EXTERNAL P/T, 2-1/4"" BUMPER SUB, 2-1/4"" OIL JARS, 1-1/4"" MACARONI TBG, N-NIPPLE.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,02-Jun-2002 9:00,"INTER, INTER",CC,9.0,,"RIH ON 1-1/4"" MACARONI TBG TO 4,000 FT. FLUSH TBG EVERY 5 JTS RAN. SECURE WELL.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,02-Jun-2002 18:00,"INTER, INTER",TRAV,1.0,,TRAVELL CREWS BACK TO SS-3 BARGE.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,03-Jun-2002 6:30,"INTER, INTER",TRAV,1.0,,TRAVELL CREWS TO SERANG PLATFORM VIA PRODUCTION QUARTER.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,03-Jun-2002 7:30,"INTER, INTER",HESMTG,0.5,,"OPEN WELL, TBG AND CASING PRESSURE 0 PSI. HELD PRE JOB SAFETY MEETING.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,03-Jun-2002 8:00,"INTER, INTER",CLNOUT,10.0,,"CONT'D. RIH W/ FISHING TOOL FROM 4,000 FT TO 7,250' AND FLUSH THE TBG EVERY 5 JTS RAN. P/U WEIGHT 14 KLBS, S/O 5 KLBS AT 7,250'. SECURE THE WELL.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,03-Jun-2002 18:00,"INTER, INTER",TRAV,1.0,,TRAVEL CREWS TO SS-3 BARGE.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,04-Jun-2002 6:00,"INTER, INTER",TRAV,1.5,,TRAVELL CREWS TO SERANG PLATFORM VIA B-3 BARGE.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,04-Jun-2002 7:30,"INTER, INTER",CLNOUT,1.0,,"OPEN WELL TBG AND CSG PRESSURE 0 PSI. AT 7,250' PUMP DOWN MACARONI TBG W/ 1,000 PSI MAX @ 0.7 BPM FOR FLUSHING AND REMOVE IF ANY DEBRIS ON TOP OF FISH. CHECK WEIGHT : P/U 14 KLBS, S/O 5 KLBS.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,04-Jun-2002 8:30,"INTER, INTER",FISH,2.0,,"CONT'D RIH SLOWLY TO LATCH THE FISH W/ PUMPING @ 200 PSI MAX. INDICATION LATCH @ 7,291' DPM, PRESSURE INCREASE TO 250 PSI. STOP PUMPING. SIT DOWN WEIGHT 500 LBS. THEN FREE - CAN GO DOWN, WORK ON FISH AND PULL FREE W/ 4 KLBS OVERPULL. POH TO 7,240'. GOT RETURNS OIL FROM ANNULUS, BULLHEAD DOWN ANNULUS W/ 55 BBLS OF 6% KCL S/W + 0.2% J-103 SURFACTANT. OBSERVE WELL - STABLE.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,04-Jun-2002 10:30,"INTER, INTER",FISH,7.5,,"POOH FROM 7,240' - GET DRAGGED WHEN THRU SPM @ 6,267' - AND FREE W/ 4 KLBS OVERPULL. CONT'D. POOH TO 2,950'. SECURE THE WELL.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,04-Jun-2002 18:00,"INTER, INTER",TRAV,1.0,,TRAVELL CREWS TO SS-3 BARGE.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,05-Jun-2002 6:00,"INTER, INTER",TRAV,1.5,,TRAVEL CREWS TO SERANG PLATFORM VIA QUARTER.,,,,,,,,,,,,,,,,,
,,SNB-150 Remote,05-Jun-2002 7:30,"INTER, INTER",FISH,5.0,,"OPEN WELL, TBG AND CSG 0 PSI. CONT'D. POOH WITH FISH TO SURFACE. DRAGGED 1 KLBS WHEN PASS THRU @ BALL VALVE NIPPLE.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,05-Jun-2002 12:30,"INTER, INTER",FISH,1.5,,"CLOSED SWAB VALVE. LAY DOWN FISH AND BREAK DOWN ON PLATFORM DECK. RECOVERED COMPLETED THE FISH ( 33' LENGTH ) : 1-3/8"" MH-22 FISHING NECK, CCL, PGGT, SONDEX TRACTOR. NOTE : FOUND BOTTOM ARM OF SONDEX TRACTOR NOT RETRACT. FUNCTION TEST SCHLUMBERGER TOOLS : CCL, PGGT - OK.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,05-Jun-2002 14:00,"INTER, INTER",TRBSHT,2.0,,"STOP OPERATION DUE TO THE WELLS SHUT DOWN ON SERANG PLATFORM, TROUBLESHOOTING.",,,,,,,,,,,,,,,,,
,,SNB-150 Remote,05-Jun-2002 16:00,"DEMOB, RD",SLKDMG,2.0,,"INSTALL W/L ADAPTOR. R/U SLICKLINE LUBRICATOR, PRESSURE TESTED TO 2,500 PSI - OK. RIH W/ X-LINE R/T, RE-SET BV INTO BV NIPLLE @ 478'. R/D SLICKLINE LUBRICATOR. SECURE THE WELL.",,,,,,,,,,,,,,,,,
